EthiopianMonth,EthMonNum,EthYear,RegionName,ZoneName,WoredaName,DeliveredPrivateClinics,DeliveredPublicClinics,DeliveredOther,DeliveredTotal
Hamle,11th,2010,Oromia,East Wellega,Gudeyabila,62,88,2,152
Yekatit,6th,2011,Oromia,Bale,Dawe Qachen,50,85,1,136
Tir,5th,2009,Oromia,West Shewa,Bako Tibe,95,25,67,187
Meskerem,1st,2010,Oromia,East Wellega,Sasiga,71,25,33,129
Tir,5th,2010,Oromia,West Hararge,Oda Bultum,41,17,3,61
Yekatit,6th,2011,Oromia,East Shewa,Batu,56,67,63,186
Nehase,12th,2009,Oromia,Arsi,Deksis,69,29,66,164
Ginbot,9th,2009,Oromia,West Shewa,Abuna Gindeberet,53,74,61,188
Tahesas,4th,2010,Oromia,West Guji,Hanbala,61,33,68,162
Megabit,7th,2010,Oromia,West Shewa,Jibat,31,62,63,156
Tir,5th,2011,Oromia,Guji,Hambela Wamena,24,66,20,110
Miyazia,8th,2009,Oromia,Bale,Goro,89,68,1,158
Sene,10th,2009,Oromia,Arsi,Jeju,78,22,33,133
Ginbot,9th,2010,Oromia,Borena,Yabelo Rural,60,97,4,161
Sene,10th,2010,Oromia,Jimma,Agaro,81,9,65,155
Sene,10th,2009,Oromia,Ilu Aba Bora,Bure,82,35,9,126
Miyazia,8th,2010,Oromia,Bale,Seweyna,22,78,19,119
Nehase,12th,2009,Oromia,West Wellega,Gimbi Rural,4,35,78,117
Teqemt,2nd,2010,Oromia,East Wellega,Sibu Sire,50,56,5,111
Tahesas,4th,2011,Oromia,Qeleme Wellega,Dale Sedi,60,72,53,185
Teqemt,2nd,2011,Oromia,East Wellega,Wayu Tuqa,65,36,73,174
Hedar,3rd,2010,Oromia,Buno Bedele,Chora,64,96,36,196
Yekatit,6th,2011,Oromia,Bale,Dawe Serar,52,34,74,160
Nehase,12th,2009,Oromia,Ilu Aba Bora,Halu,20,79,93,192
Nehase,12th,2009,Oromia,East Hararge,Fedis,83,90,54,227
Sene,10th,2011,Oromia,Borena,Gomole,9,27,12,48
Megabit,7th,2009,Oromia,West Shewa,Tibe Kutaye,23,50,10,83
Tir,5th,2009,Oromia,East Hararge,Deder,87,64,10,161
Tir,5th,2010,Oromia,West Wellega,Seyo Nole,24,1,43,68
Tahesas,4th,2010,Oromia,Guji,Uraga,86,87,40,213
Miyazia,8th,2009,Oromia,Bale,Dinsho,98,41,21,160
Megabit,7th,2009,Oromia,Qeleme Wellega,Dambi Dolo Hospital,61,53,0,114
Meskerem,1st,2011,Oromia,West Shewa,Adea Berga,25,70,78,173
Miyazia,8th,2011,Oromia,West Wellega,Lalo Asabi,15,53,11,79
Ginbot,9th,2011,Oromia,Jimma,Seka Chekorsa,77,20,69,166
Megabit,7th,2009,Oromia,Borena,Moyale Hospital,25,12,11,48
Sene,10th,2009,Oromia,East Hararge,Jarso,57,54,85,196
Sene,10th,2011,Oromia,West Arsi,Hebal Arsi,91,25,62,178
Miyazia,8th,2011,Oromia,North Shewa,Jido,31,89,57,177
Tir,5th,2009,Oromia,West Hararge,Chiro Zuriya,51,57,34,142
Teqemt,2nd,2011,Oromia,East Hararge,Meyu Muleke,30,96,72,198
Yekatit,6th,2009,Oromia,East Hararge,Fedis,3,65,74,142
Tir,5th,2011,Oromia,West Shewa,Meta Waliqite,11,51,52,114
Megabit,7th,2009,Oromia,Jimma,Seka Chekorsa,22,11,67,100
Ginbot,9th,2011,Oromia,Qeleme Wellega,Dambi Dollo,40,69,72,181
Miyazia,8th,2011,Oromia,West Arsi,Kokosa  Hospital,61,85,79,225
Miyazia,8th,2009,Oromia,East Wellega,Boneya Bushe,48,83,87,218
Yekatit,6th,2010,Oromia,Buno Bedele,Bedele Town,52,45,8,105
Ginbot,9th,2011,Oromia,East Shewa,Liben,19,80,55,154
Megabit,7th,2010,Oromia,Finfine Zuria,Berreh,92,36,97,225
Hedar,3rd,2011,Oromia,East Hararge,Bedeno,29,74,72,175
Nehase,12th,2009,Oromia,West Shewa,Ambo,98,78,86,262
Sene,10th,2010,Oromia,North Shewa,Hidabu Abote,29,96,20,145
Ginbot,9th,2010,Oromia,West Arsi,Bishan Guracha Town,36,88,62,186
Hedar,3rd,2011,Oromia,Borena,Meyo,26,74,51,151
Miyazia,8th,2011,Oromia,West Wellega,Ayira,29,68,74,171
Yekatit,6th,2009,Oromia,East Hararge,Jarso,98,76,78,252
Ginbot,9th,2010,Oromia,Jimma,Nono Benja,2,33,64,99
Miyazia,8th,2010,Oromia,East Hararge,Kersa Eh,41,59,80,180
Tahesas,4th,2011,Oromia,Jimma,Limu Seka,7,29,79,115
Tahesas,4th,2010,Oromia,West Arsi,Kofele,68,11,91,170
Ginbot,9th,2010,Oromia,West Hararge,Habro,36,7,84,127
Hamle,11th,2010,Oromia,Arsi,Robe,10,76,60,146
Ginbot,9th,2011,Oromia,West Shewa,Elifata,77,32,0,109
Hamle,11th,2010,Oromia,South West Shewa,Dawo,66,85,38,189
Nehase,12th,2009,Oromia,East Hararge,Kersa Eh,59,81,23,163
Yekatit,6th,2010,Oromia,North Shewa,Dera Hospital,38,9,16,63
Ginbot,9th,2011,Oromia,East Hararge,Babile Woreda,66,59,73,198
Ginbot,9th,2009,Oromia,Qeleme Wellega,Seyo,56,34,90,180
Meskerem,1st,2011,Oromia,West Shewa,Ejerie,47,98,45,190
Nehase,12th,2010,Oromia,Horo Gudru Wellega,Shambu Town,56,15,56,127
Ginbot,9th,2011,Oromia,West Wellega,Lata Sibu,43,70,43,156
Ginbot,9th,2011,Oromia,Finfine Zuria,Mullo,54,60,14,128
Miyazia,8th,2009,Oromia,Borena,Dubluk,13,32,86,131
Sene,10th,2010,Oromia,Bale,Meda Welabu,39,22,77,138
Nehase,12th,2010,Oromia,East Shewa,Batu,32,10,57,99
Ginbot,9th,2011,Oromia,North Shewa,Kuyu Hospital,50,70,33,153
Yekatit,6th,2011,Oromia,West Shewa,Ilu Galan,29,35,35,99
Meskerem,1st,2010,Oromia,East Wellega,Nunu Qumba,78,43,91,212
Hamle,11th,2009,Oromia,West Hararge,Tulo,54,69,98,221
Nehase,12th,2009,Oromia,West Arsi,Dodola Rural,59,15,21,95
Miyazia,8th,2009,Oromia,North Shewa,Wuchale,76,31,43,150
Tahesas,4th,2011,Oromia,West Wellega,Nejo Rural,52,10,57,119
Hedar,3rd,2010,Oromia,East Wellega,Guto Gida,91,11,3,105
Tir,5th,2011,Oromia,East Wellega,Wayu Tuqa,1,13,64,78
Teqemt,2nd,2010,Oromia,East Wellega,Wama Hagelo,72,51,69,192
Ginbot,9th,2011,Oromia,Qeleme Wellega,Hawa Gelan Hosp,83,52,44,179
Hedar,3rd,2011,Oromia,East Wellega,Jimma Arjo,6,59,2,67
Hedar,3rd,2011,Oromia,East Wellega,Gida Ayana,94,56,4,154
Sene,10th,2010,Oromia,South West Shewa,Bantu  Hospital,74,75,47,196
Hedar,3rd,2010,Oromia,South West Shewa,Kersana Malima,73,76,64,213
Meskerem,1st,2011,Oromia,Guji,Dima,29,90,56,175
Ginbot,9th,2011,Oromia,Bale,Seweyna,89,63,40,192
Tir,5th,2011,Oromia,West Wellega,Ayira,10,8,60,78
Nehase,12th,2010,Oromia,West Wellega,Lalo Asabi,42,39,82,163
Megabit,7th,2010,Oromia,Guji,Odo Shakiso,75,78,41,194
Nehase,12th,2009,Oromia,South West Shewa,Woliso Rural,97,7,77,181
Ginbot,9th,2011,Oromia,Bale,Raitu,49,87,2,138
Nehase,12th,2009,Oromia,Arsi,Jeju,40,13,60,113
Sene,10th,2010,Oromia,South West Shewa,Ameya,17,86,33,136
Ginbot,9th,2009,Oromia,East Wellega,Wama Hagelo,30,11,76,117
Megabit,7th,2009,Oromia,East Shewa,Batu,69,90,16,175
Yekatit,6th,2011,Oromia,Holeta Town,Holeta Town,26,90,70,186
Hamle,11th,2010,Oromia,North Shewa,Were Jarso,61,69,80,210
Sene,10th,2009,Oromia,Arsi,Limuna Bilbilo,84,80,7,171
Hedar,3rd,2010,Oromia,East Wellega,Diga,28,30,87,145
Megabit,7th,2009,Oromia,Arsi,Limuna Bilbilo,59,44,8,111
Ginbot,9th,2009,Oromia,South West Shewa,Woliso Town,30,6,38,74
Sene,10th,2011,Oromia,West Guji,Abaya,57,49,55,161
Teqemt,2nd,2010,Oromia,West Shewa,Gindeberet Hospital,73,63,5,141
Meskerem,1st,2010,Oromia,Arsi,Robe,4,14,11,29
Miyazia,8th,2010,Oromia,Jimma,B/Tolyi,28,35,76,139
Meskerem,1st,2011,Oromia,East Wellega,Guto Gida,34,10,81,125
Tir,5th,2009,Oromia,Arsi,Amigna,44,46,14,104
Nehase,12th,2010,Oromia,Borena,Dilo,56,96,53,205
Sene,10th,2010,Oromia,East Shewa,Adea,78,71,32,181
Tir,5th,2011,Oromia,West Wellega,Homa,52,86,70,208
Megabit,7th,2009,Oromia,Bale,Agarfa,31,16,48,95
Meskerem,1st,2011,Oromia,Robe Town,Robe Town,92,6,69,167
Tir,5th,2009,Oromia,Jimma,Gomma,25,29,14,68
Miyazia,8th,2011,Oromia,East Hararge,Meyu Muleke,84,7,38,129
Ginbot,9th,2011,Oromia,West Guji,Mkelka Soda,3,41,20,64
Hamle,11th,2009,Oromia,West Hararge,Habro,22,92,36,150
Miyazia,8th,2009,Oromia,East Shewa,Liben,42,72,42,156
Ginbot,9th,2010,Oromia,Arsi,Digeluna Tijo,9,48,43,100
Megabit,7th,2010,Oromia,Lege Dadi Lege Tafo Town,Lege Dadi Lege Tafo Town,94,52,11,157
Ginbot,9th,2010,Oromia,Buno Bedele,Bedele Town,9,61,46,116
Yekatit,6th,2011,Oromia,West Guji,Kercha,50,97,87,234
Sene,10th,2009,Oromia,West Arsi,Gambo Hospital,52,47,42,141
Yekatit,6th,2011,Oromia,Borena,Meyo,6,61,14,81
Megabit,7th,2009,Oromia,Guji,Dima,84,55,45,184
Ginbot,9th,2009,Oromia,Bale,Dawe Qachen,54,38,78,170
Ginbot,9th,2010,Oromia,Guji,Liben,10,52,86,148
Hedar,3rd,2010,Oromia,West Arsi,Kofele,18,46,72,136
Nehase,12th,2010,Oromia,Qeleme Wellega,Sedan Chanka,25,22,65,112
Nehase,12th,2010,Oromia,Ilu Aba Bora,Didu,97,31,79,207
Teqemt,2nd,2010,Oromia,East Hararge,Melka Belo,26,76,35,137
Yekatit,6th,2010,Oromia,West Wellega,Homa,79,56,37,172
Yekatit,6th,2010,Oromia,Ambo Town,Ambo Town,76,82,36,194
Sene,10th,2011,Oromia,West Shewa,Ambo Hospital,18,20,62,100
Megabit,7th,2011,Oromia,East Wellega,Gobu Seyo,71,4,43,118
Yekatit,6th,2010,Oromia,East Wellega,Jimma Arjo,63,53,40,156
Hamle,11th,2010,Oromia,Bale,Seweyna,49,52,13,114
Ginbot,9th,2009,Oromia,Bale,Raitu,43,86,53,182
Teqemt,2nd,2011,Oromia,East Shewa,Adami Tulu Jido Kombolcha,47,50,51,148
Teqemt,2nd,2011,Oromia,South West Shewa,Ilu,4,21,3,28
Megabit,7th,2009,Oromia,North Shewa,Wuchale,12,40,15,67
Hamle,11th,2010,Oromia,Dukem Town,Dukem Town,97,53,43,193
Nehase,12th,2009,Oromia,Bale,Gura Dhamole,46,50,19,115
Ginbot,9th,2009,Oromia,East Wellega,Limu,34,26,25,85
Nehase,12th,2010,Oromia,East Wellega,Sasiga,98,70,87,255
Tir,5th,2009,Oromia,West Arsi,Kore,61,61,18,140
Meskerem,1st,2011,Oromia,West Shewa,Ejerie,15,20,8,43
Hedar,3rd,2010,Oromia,Arsi,Deksis,24,97,93,214
Hamle,11th,2010,Oromia,Jimma,B/Tolyi,4,18,42,64
Tir,5th,2009,Oromia,East Hararge,Babile,36,24,41,101
Yekatit,6th,2011,Oromia,Jimma,Dedo,28,27,48,103
Megabit,7th,2010,Oromia,Qeleme Wellega,Anfilo,81,27,20,128
Ginbot,9th,2011,Oromia,West Wellega,Nole Kaba,86,42,48,176
Ginbot,9th,2011,Oromia,Guji,Saba Boru,71,56,76,203
Sene,10th,2010,Oromia,Arsi,Jeju,43,18,97,158
Miyazia,8th,2011,Oromia,East Wellega,Nunu Qumba,80,90,30,200
Miyazia,8th,2010,Oromia,Jimma,Limu Hospital,52,29,0,81
Hamle,11th,2010,Oromia,Ilu Aba Bora,Nono Sele,63,59,92,214
Miyazia,8th,2011,Oromia,East Hararge,Chinakesen,98,19,62,179
Tir,5th,2011,Oromia,West Wellega,Mendi Town,46,47,14,107
Miyazia,8th,2011,Oromia,East Shewa,Adea,70,56,16,142
Meskerem,1st,2011,Oromia,West Arsi,Kokosa  Hospital,81,83,15,179
Tir,5th,2010,Oromia,West Wellega,Haru,94,83,81,258
Miyazia,8th,2011,Oromia,Buno Bedele,Diga,99,78,28,205
Hedar,3rd,2011,Oromia,Borena,Meyo,8,42,68,118
Hedar,3rd,2011,Oromia,Qeleme Wellega,Hawa Gelan Hosp,86,52,63,201
Sene,10th,2011,Oromia,Jimma,Guma,12,60,39,111
Tir,5th,2009,Oromia,Horo Gudru Wellega,Shambu Town,30,49,73,152
Miyazia,8th,2011,Oromia,Buno Bedele,Bedele Zuriya,5,29,95,129
Miyazia,8th,2010,Oromia,West Arsi,Hebal Arsi,3,16,19,38
Tir,5th,2010,Oromia,West Wellega,Mendi Town,3,42,61,106
Tir,5th,2010,Oromia,North Shewa,Aleiltu,39,7,6,52
Tir,5th,2010,Oromia,West Guji,Kercha,3,32,41,76
Sene,10th,2010,Oromia,Jimma,Setema,41,77,43,161
Teqemt,2nd,2011,Oromia,West Wellega,Mene Sibu,72,59,26,157
Sene,10th,2010,Oromia,East Shewa,Adami Tulu Jido Kombolcha,16,63,44,123
Miyazia,8th,2009,Oromia,Qeleme Wellega,Jimma Horo,6,7,3,16
Teqemt,2nd,2011,Oromia,Nekemte Town,Nekemte Town,39,35,68,142
Sene,10th,2009,Oromia,Buno Bedele,Chewaqa,51,63,30,144
Meskerem,1st,2011,Oromia,Guji,Aga Wayyu,86,38,36,160
Tahesas,4th,2010,Oromia,West Shewa,Ginde Beret,59,66,80,205
Sene,10th,2009,Oromia,Ilu Aba Bora,Doreni,97,50,13,160
Ginbot,9th,2011,Oromia,East Wellega,Ebantu,27,60,31,118
Tahesas,4th,2010,Oromia,Bale,Delo Mena,88,54,18,160
Ginbot,9th,2009,Oromia,Guji,Adola Hospital,94,23,7,124
Ginbot,9th,2010,Oromia,Borena,Dire,4,56,49,109
Sene,10th,2011,Oromia,Finfine Zuria,Berreh,37,94,23,154
Sene,10th,2010,Oromia,West Hararge,Chiro Zuriya,13,63,60,136
Tir,5th,2011,Oromia,Borena,Teltele,40,51,81,172
Miyazia,8th,2011,Oromia,West Shewa,Jeldu,39,35,36,110
Miyazia,8th,2009,Oromia,East Hararge,Goro Muti,47,39,64,150
Meskerem,1st,2011,Oromia,Finfine Zuria,Sululta Town,40,83,89,212
Megabit,7th,2010,Oromia,Horo Gudru Wellega,Jarte Jardga,70,36,98,204
Sene,10th,2011,Oromia,West Shewa,Gindeberet Hospital,99,9,41,149
Meskerem,1st,2010,Oromia,Arsi,Shirka,1,87,71,159
Miyazia,8th,2009,Oromia,East Wellega,Jimma Arjo,73,26,81,180
Tir,5th,2011,Oromia,West Arsi,Kokosa  Hospital,90,28,50,168
Hedar,3rd,2010,Oromia,West Shewa,Abuna Gindeberet,11,81,35,127
Tahesas,4th,2011,Oromia,South West Shewa,Bantu  Hospital,63,8,24,95
Teqemt,2nd,2010,Oromia,West Wellega,Gimbi,40,36,60,136
Ginbot,9th,2009,Oromia,Jimma Spe Town,Jimma Spe Town,14,11,68,93
Miyazia,8th,2010,Oromia,Jimma,Sigmo,71,14,97,182
Sene,10th,2010,Oromia,West Shewa,Bako Tibe,70,48,31,149
Megabit,7th,2010,Oromia,West Arsi,Kokosa  Hospital,69,84,85,238
Meskerem,1st,2011,Oromia,East Hararge,Deder Town,47,45,0,92
Ginbot,9th,2009,Oromia,West Hararge,Meiso,15,14,29,58
Megabit,7th,2011,Oromia,East Hararge,Kombolicha,58,57,42,157
Yekatit,6th,2009,Oromia,East Shewa,Batu,85,50,6,141
Miyazia,8th,2009,Oromia,West Hararge,Chiro Zuriya,37,9,25,71
Hedar,3rd,2011,Oromia,West Hararge,Burka Dimtu,99,71,38,208
Tir,5th,2010,Oromia,West Hararge,Gemechis,0,42,95,137
Meskerem,1st,2011,Oromia,West Shewa,Adea Berga,45,47,83,175
Meskerem,1st,2011,Oromia,West Wellega,Boji Cheqorsa,12,64,31,107
Hamle,11th,2010,Oromia,West Wellega,Mendi Town,9,88,39,136
Ginbot,9th,2010,Oromia,South West Shewa,Ameya,54,97,63,214
Yekatit,6th,2009,Oromia,East Hararge,Gursum,95,63,10,168
Tahesas,4th,2011,Oromia,West Shewa,Jibat,61,35,36,132
Yekatit,6th,2010,Oromia,West Wellega,Gimbi,29,90,70,189
Megabit,7th,2009,Oromia,West Guji,Biebirsa Kojowa,54,29,70,153
Tahesas,4th,2011,Oromia,Qeleme Wellega,Anfilo,25,67,23,115
Hamle,11th,2009,Oromia,West Shewa,Midakegni,75,39,49,163
Meskerem,1st,2010,Oromia,Bale,Agarfa,79,21,89,189
Tahesas,4th,2010,Oromia,West Shewa,Bako Tibe,64,54,53,171
Hedar,3rd,2010,Oromia,Guji,Negele Town,90,43,38,171
Megabit,7th,2011,Oromia,Guji,Shakiso Town,90,26,27,143
Megabit,7th,2011,Oromia,East Wellega,Ebantu,89,73,82,244
Hamle,11th,2009,Oromia,Bale,Meda Welabu,19,48,63,130
Ginbot,9th,2009,Oromia,West Wellega,Qiltu Kara,96,57,8,161
Tir,5th,2011,Oromia,West Wellega,Boji Dermeji,40,7,63,110
Megabit,7th,2011,Oromia,Ilu Aba Bora,Metu Rural,25,86,33,144
Ginbot,9th,2011,Oromia,West Wellega,Mene Sibu,9,32,10,51
Yekatit,6th,2009,Oromia,Qeleme Wellega,Gidami,98,71,94,263
Miyazia,8th,2010,Oromia,Buno Bedele,Bedele Town,36,1,93,130
Tir,5th,2009,Oromia,North Shewa,Debre Libanos,84,55,36,175
Nehase,12th,2009,Oromia,West Shewa,Nono,77,98,39,214
Sene,10th,2009,Oromia,West Wellega,Qiltu Kara,82,28,92,202
Yekatit,6th,2009,Oromia,East Shewa,Boset,68,50,38,156
Ginbot,9th,2009,Oromia,West Wellega,Genji,91,94,37,222
Ginbot,9th,2010,Oromia,West Shewa,Jibat,76,90,99,265
Megabit,7th,2010,Oromia,Jimma,Mana,72,41,39,152
Teqemt,2nd,2010,Oromia,Arsi,Jeju,25,46,58,129
Sene,10th,2011,Oromia,Horo Gudru Wellega,Shambu Town,17,76,83,176
Megabit,7th,2011,Oromia,West Shewa,Dano,14,65,12,91
Nehase,12th,2010,Oromia,East Wellega,Gobu Seyo,51,85,18,154
Miyazia,8th,2011,Oromia,Borena,Moyale,42,34,4,80
Meskerem,1st,2010,Oromia,Buno Bedele,Diga,45,5,17,67
Ginbot,9th,2010,Oromia,Arsi,Tiyo,22,57,38,117
Miyazia,8th,2009,Oromia,Arsi,Robe,1,77,90,168
Tir,5th,2009,Oromia,West Shewa,Chelia,64,11,25,100
Teqemt,2nd,2011,Oromia,East Shewa,Lomme,51,72,97,220
Ginbot,9th,2011,Oromia,Guji,Saba Boru,93,78,33,204
Tir,5th,2011,Oromia,East Hararge,Meta,58,86,78,222
Megabit,7th,2011,Oromia,Arsi,Zeway Dugda,72,96,57,225
Hedar,3rd,2011,Oromia,Finfine Zuria,Walmera,3,7,61,71
Miyazia,8th,2011,Oromia,Borena,Teltele,61,43,99,203
Megabit,7th,2009,Oromia,West Arsi,Wondo,94,96,50,240
Megabit,7th,2010,Oromia,Bale,Goba,80,79,27,186
Hedar,3rd,2010,Oromia,East Hararge,Garemuleta Hospital,11,26,32,69
Megabit,7th,2009,Oromia,Guji,Wadara,45,48,8,101
Teqemt,2nd,2010,Oromia,East Hararge,Bedeno,66,93,18,177
Hamle,11th,2009,Oromia,West Shewa,Gojo Hospital,61,20,52,133
Sene,10th,2009,Oromia,West Shewa,Jibat,7,27,60,94
Nehase,12th,2009,Oromia,West Shewa,Liban Jawi,78,92,73,243
Yekatit,6th,2010,Oromia,West Guji,Bule Hora Toun,47,5,93,145
Hedar,3rd,2010,Oromia,Guji,Wadara,8,37,10,55
Megabit,7th,2011,Oromia,South West Shewa,Seden Sodo,42,97,75,214
Ginbot,9th,2009,Oromia,West Wellega,Gimbi Public  Hospital,14,11,99,124
Sene,10th,2011,Oromia,Horo Gudru Wellega,Jima Rare,41,36,94,171
Megabit,7th,2009,Oromia,East Hararge,Gole Oda,80,66,34,180
Hedar,3rd,2011,Oromia,Guji,Dima,91,54,36,181
Teqemt,2nd,2011,Oromia,Qeleme Wellega,Dambi Dolo Hospital,68,74,92,234
Megabit,7th,2009,Oromia,East Shewa,Adea,29,21,81,131
Tahesas,4th,2010,Oromia,Guji,Negele Hospital,98,46,80,224
Hedar,3rd,2010,Oromia,Jimma,Omonada,85,72,15,172
Ginbot,9th,2010,Oromia,South West Shewa,Seden Sodo,76,11,56,143
Sene,10th,2010,Oromia,South West Shewa,Ameya,5,6,7,18
Sene,10th,2010,Oromia,West Hararge,Chiro Town,99,91,13,203
Tir,5th,2009,Oromia,Arsi,Digeluna Tijo,78,36,60,174
Hedar,3rd,2010,Oromia,East Hararge,Aweday Town,27,18,5,50
Megabit,7th,2009,Oromia,Bale,Goro,0,47,25,72
Miyazia,8th,2009,Oromia,West Hararge,West Harerge	Gumbi Bordede,78,78,11,167
Hedar,3rd,2010,Oromia,Guji,Wadara,87,97,97,281
Tir,5th,2011,Oromia,Jimma,Omo Nada Hospital,45,78,75,198
Teqemt,2nd,2011,Oromia,Bale,Ginir,59,33,36,128
Miyazia,8th,2009,Oromia,East Hararge,Haromaya Hospital,53,41,3,97
Megabit,7th,2009,Oromia,Horo Gudru Wellega,Hababo Guduru,13,47,72,132
Tir,5th,2011,Oromia,East Shewa,Lomme,37,41,0,78
Sene,10th,2010,Oromia,West Arsi,Kore,23,3,90,116
Meskerem,1st,2011,Oromia,West Shewa,Tikur Enchini,20,23,42,85
Sene,10th,2009,Oromia,Borena,Arero,34,79,91,204
Miyazia,8th,2009,Oromia,West Arsi,Arsi Negele Rural,21,54,75,150
Nehase,12th,2010,Oromia,South West Shewa,Tulu Bolo Hospital,22,51,47,120
Teqemt,2nd,2011,Oromia,Finfine Zuria,Berreh,4,32,16,52
Sene,10th,2009,Oromia,Bale,Goba,6,11,39,56
Nehase,12th,2010,Oromia,Guji,Odo Shakiso,97,75,49,221
Ginbot,9th,2010,Oromia,Arsi,Bekoji Town,14,89,79,182
Ginbot,9th,2010,Oromia,Buno Bedele,Bedele Town,17,48,1,66
Tir,5th,2011,Oromia,Qeleme Wellega,Hawa Gelan Hosp,31,49,83,163
Ginbot,9th,2011,Oromia,West Shewa,Tikur Enchini,13,62,29,104
Hamle,11th,2009,Oromia,Guji,Wadara,18,25,22,65
Hedar,3rd,2010,Oromia,East Hararge,Midega Tole,13,30,54,97
Yekatit,6th,2011,Oromia,Assela Town,Assela Town,63,64,72,199
Megabit,7th,2011,Oromia,Buno Bedele,Meko,81,89,57,227
Tir,5th,2009,Oromia,Qeleme Wellega,Yemalogi Wolel,58,86,77,221
Sene,10th,2009,Oromia,West Wellega,Gimbi Rural,90,92,55,237
Tir,5th,2009,Oromia,East Wellega,Nunu Qumba,89,45,33,167
Tahesas,4th,2011,Oromia,Qeleme Wellega,Gidami Hosp,81,37,88,206
Hedar,3rd,2010,Oromia,West Guji,Kercha Hospital,74,69,28,171
Sene,10th,2009,Oromia,West Wellega,Nejo Hospital,66,67,62,195
Megabit,7th,2010,Oromia,Arsi,Robe,21,65,86,172
Nehase,12th,2009,Oromia,Bale,Gura Dhamole,16,31,17,64
Megabit,7th,2009,Oromia,Borena,Teltele,68,46,61,175
Megabit,7th,2009,Oromia,West Arsi,Gambo Hospital,84,63,69,216
Tir,5th,2010,Oromia,East Wellega,Wama Hagelo,90,56,42,188
Tahesas,4th,2010,Oromia,Arsi,Tiyo,35,52,17,104
Miyazia,8th,2010,Oromia,Ilu Aba Bora,Bilonopa,74,39,43,156
Miyazia,8th,2011,Oromia,Borena,Dhas,97,44,70,211
Tir,5th,2011,Oromia,Borena,Dire,19,46,67,132
Hedar,3rd,2010,Oromia,West Arsi,Shala,90,24,14,128
Sene,10th,2009,Oromia,South West Shewa,Goro,81,64,73,218
Tahesas,4th,2010,Oromia,Ilu Aba Bora,Metu Town,48,56,3,107
Nehase,12th,2010,Oromia,Horo Gudru Wellega,Jarte Jardga,12,83,65,160
Ginbot,9th,2010,Oromia,West Hararge,Gemechis,67,86,43,196
Yekatit,6th,2009,Oromia,Bale,Seweyna,41,7,69,117
Hedar,3rd,2010,Oromia,Borena,Yabelo Hospital,29,72,87,188
Tahesas,4th,2011,Oromia,East Wellega,Nunu Qumba,30,75,49,154
Miyazia,8th,2011,Oromia,West Wellega,Kundala,76,44,80,200
Yekatit,6th,2010,Oromia,West Shewa,Tikur Enchini,95,1,21,117
Nehase,12th,2010,Oromia,Borena,Yabelo,13,14,61,88
Megabit,7th,2009,Oromia,Arsi,Zeway Dugda,24,73,14,111
Tahesas,4th,2011,Oromia,West Wellega,Nejo Rural,60,15,53,128
Megabit,7th,2010,Oromia,East Hararge,Haromaya Hospital,25,96,53,174
Megabit,7th,2010,Oromia,Bale,Goba,98,49,35,182
Teqemt,2nd,2010,Oromia,East Shewa,Gimbichu,64,76,27,167
Ginbot,9th,2009,Oromia,West Guji,Biebirsa Kojowa,8,50,64,122
Ginbot,9th,2010,Oromia,Qeleme Wellega,Gidami,4,70,68,142
Teqemt,2nd,2011,Oromia,Borena,Dubluk,43,78,7,128
Megabit,7th,2009,Oromia,East Hararge,Kumbi,62,11,30,103
Hedar,3rd,2011,Oromia,Finfine Zuria,Walmera,85,84,15,184
Ginbot,9th,2009,Oromia,West Shewa,Gedo Hospital,51,7,98,156
Sene,10th,2011,Oromia,West Shewa,Gojo Hospital,31,52,25,108
Hedar,3rd,2011,Oromia,Arsi,Aseko,59,83,68,210
Ginbot,9th,2011,Oromia,North Shewa,Jido,43,24,52,119
Megabit,7th,2011,Oromia,East Hararge,Deder Town,11,84,99,194
Miyazia,8th,2011,Oromia,South West Shewa,Goro,43,47,12,102
Meskerem,1st,2011,Oromia,North Shewa,Kimbibit,56,66,41,163
Teqemt,2nd,2010,Oromia,Buno Bedele,Meko,43,62,15,120
Nehase,12th,2009,Oromia,Ilu Aba Bora,Becho,96,65,56,217
Megabit,7th,2010,Oromia,West Shewa,Meta Waliqite,15,91,2,108
Sene,10th,2010,Oromia,Woliso Town,Woliso Town,90,82,98,270
Sene,10th,2009,Oromia,Ilu Aba Bora,Doreni,11,40,59,110
Nehase,12th,2010,Oromia,West Hararge,Guba Qoricha,63,14,22,99
Miyazia,8th,2010,Oromia,Finfine Zuria,Mullo,10,54,80,144
Hamle,11th,2010,Oromia,West Wellega,Mendi Hospital,46,21,36,103
Yekatit,6th,2009,Oromia,West Guji,Dugda Dawa,43,73,14,130
Ginbot,9th,2010,Oromia,Arsi,Seru,23,73,78,174
Tahesas,4th,2011,Oromia,Arsi,Sire,54,42,83,179
Teqemt,2nd,2011,Oromia,Horo Gudru Wellega,Amuru,50,8,18,76
Teqemt,2nd,2011,Oromia,West Shewa,Guder Hosp,37,35,15,87
Tahesas,4th,2011,Oromia,West Shewa,Ambo,58,27,67,152
Tir,5th,2010,Oromia,Bale,Dawe Qachen,17,56,34,107
Hedar,3rd,2011,Oromia,Guji,Dima,32,24,0,56
Ginbot,9th,2009,Oromia,Bishoftu Town,Bishoftu Town,27,78,44,149
